EVENT_TYPE,comment,EVENT_ID
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 21 NOV 2018,9346
RINGING,RNG.,10430
NOT_CONTACTABLE,ASSIGNED TO AGENCY AG ENTERPRISES,21762
PAID,PAID,19014
PROMISE_TO_PAY,PTP GIVEN BY CUSTOMER TO AGENCY,10400
RINGING,RNG,24758
PAID,CM HAS MADE THE PYMT OF RS 3173 THROUGH AGENCY ON 06/02,29194
PAID,PAID,17174
NOT_CONTACTABLE,SWITCH OFF.,16870
PAID,PAID,3515
RINGING,RNG,26040
CASH_PICK_UP,ASSIGNED TO AGENCY NATRAJ MOTOR,29669
NOT_CONTACTABLE,NC,29405
RINGING,RNG,12520
PAID,PAID,4725
PAID,PAID,15181
PAID,CM HAS MADE THE PYMT OF RS 2351 THROUGH AGENCY ON 22/11,10409
PAID,CM HAS MADE THE PYMT OF RS 1588 THROUGH AGENCY ON 12/12,15258
PAID,CM HAS MADE THE PYMT OF RS 4743 THROUGH AGENCY ON 28/01,26947
PAID,CM HAS MADE THE PYMT OF RS 11422 BY CASH 14/11,8195
PROMISE_TO_PAY,WILL PAY ON 27,11447
RINGING,RNG,28795
PAID,CM HAS MADE THE PYMT OF RS 1863 THROUGH AGENCY ON 07/02,29424
PROMISE_TO_PAY,PTP NEXT MONTH.10/11,4212
NOT_CONTACTABLE,CM NUMBER NOT AVAILABLE,29877
CASH_PICK_UP,PIC-UP 2/2,27786
RINGING,RNG,14119
RINGING,RNG,20109
RINGING,RNG,14589
RINGING,RNG,29122
PAID,CM HAS MADE THE PYMT OF RS 3200 THROUGH ONLINE ON 14/12,16624
PROMISE_TO_PAY,REASSIGNED BY HARDIK KADAKIA,8270
NOT_CONTACTABLE,SWITCH OFF.,12693
PAID,CM GIVEN 1 EMI BY CASH,22935
PAID,PAID,18508
PAID,PAID,2542
PAID,PAID,11525
PAID,PAID,13218
NOT_CONTACTABLE,CM MOB NO NOT REACHABLE,20541
PAID,CASH,10650
PAID,CM GIVEN 1 EMI BY CASH,6033
NOT_CONTACTABLE,NC,13914
NOT_CONTACTABLE,ASSIGNED TO AGENCY AG ENTERPRISES,22392
RINGING,RNG.,12698
FOLLOW_UP,11-OCT-18 CM MOB NO CALL REC CM MOTHER HE SAID CM NOT IN HOME CALL BACK AFTER SOME TIME,2432
RINGING,CM CUT THE CALL,28973
RINGING,RNG,26194
CASH_PICK_UP,CM SAID SEND THE EXECUTIVE AND COLLECT THE EMI,13802
RINGING,ASSIGNED TO AGENCY AG ENTERPRISES,21781
RINGING,RNG,27998
RINGING,RNG,20835
PROMISE_TO_PAY,CM SAID HE MAKE THE PAYMENT ON 30-JAN,26238
RINGING,NOT RECEIVED CALL,3529
PAID,CM MAKE THE PAYMENT ONLINE,6314
PAID,"11/21/2018	MMT/IMPS/XXX-XXX-XXXX90/CMXXX-XXX-XXXX/NOEL GEORG/HDFC",10393
PAID,PAID,1399
PROMISE_TO_PAY,CM SAID HE MAKE THE PAYMENT BY CASH,18669
RINGING,RNG,6538
RINGING,RNG,26301
FOLLOW_UP,CALLED BACK.,5214
PAID,PAID,3494
PROMISE_TO_PAY,ASSIGNED TO AGENCY ADITYA ENTERPRISE,17754
RINGING,RNG,20808
